Wavelength [nm]  ScatXS [cm^2]  AbsXS [cm^2]
    16.7500        5.503E-24      8.092E-19
    14.6600        6.620E-24      6.273E-19
    12.8300        7.856E-24      4.816E-19
    11.2200        9.192E-24      3.665E-19
     9.8220        1.063E-23      2.762E-19
     8.5950        1.212E-23      2.056E-19
     7.5210        1.368E-23      1.524E-19
     6.1570        1.601E-23      9.657E-20
     5.0400        1.823E-23      6.080E-20
     4.4580        1.948E-23      4.566E-20
     4.3730        1.968E-23      4.367E-20
     4.3470        1.974E-23      9.647E-19
     4.1260        2.022E-23      8.666E-19
     3.6100        2.138E-23      6.538E-19
     3.1590        2.233E-23      4.814E-19
     2.4190        2.363E-23      2.483E-19
     1.9800        2.397E-23      1.474E-19
     1.5160        2.361E-23      7.195E-20
     1.2410        2.277E-23      4.149E-20
     1.0160        2.152E-23      2.347E-20
     0.8320        1.994E-23      1.307E-20
     0.5210        1.577E-23      3.344E-21
     0.2680        1.019E-23      4.530E-22
     0.1370        6.600E-24      6.098E-23
     0.0659        4.686E-24      9.691E-24
