Wavelength [nm]  ScatXS [cm^2]  AbsXS [cm^2]
    16.7500        2.159E-24      4.553E-20
    14.6600        2.260E-24      3.063E-20
    12.8300        2.310E-24      2.051E-20
    11.2200        2.360E-24      1.369E-20
     9.8200        2.380E-24      9.107E-21
     8.6000        2.380E-24      6.043E-21
     7.5200        2.357E-24      4.001E-21
     6.5800        2.310E-24      2.645E-21
     5.3900        2.210E-24      1.405E-21
     4.4100        2.076E-24      7.444E-22
     3.8600        1.975E-24      4.855E-22
     3.3770        1.858E-24      3.164E-22
     2.7700        1.677E-24      1.660E-22
     1.9800        1.374E-24      5.638E-23
     1.5160        1.150E-24      2.385E-23
     0.9510        8.437E-25      5.591E-24
     0.4880        6.244E-25      1.115E-24
     0.2500        6.010E-25      6.495E-25
     0.0659        6.646E-25      6.646E-25
