Wavelength [nm]  ScatXS [cm^2]  AbsXS [cm^2]
    16.7500        1.462E-25      5.677E-19
    14.6600        1.994E-25      4.168E-19
    12.8300        2.725E-25      3.038E-19
    11.2200        3.656E-25      2.207E-19
     9.8200        4.786E-25      1.589E-19
     8.6000        6.115E-25      1.137E-19
     7.5200        7.644E-25      8.083E-20
     6.5800        9.439E-25      5.711E-20
     5.7600        1.137E-24      4.029E-20
     5.0400        1.349E-24      2.797E-20
     4.7200        1.462E-24      2.330E-20
     4.1300        1.688E-24      1.610E-20
     3.6100        1.908E-24      1.105E-20
     3.1600        2.127E-24      7.538E-21
     2.5860        2.426E-24      4.197E-21
     1.9800        2.739E-24      1.880E-21
     1.6200        2.878E-24      1.013E-21
     1.2410        2.931E-24      4.351E-22
     0.8320        2.752E-24      1.167E-22
     0.5570        2.380E-24      3.157E-23
     0.3270        1.874E-24      6.454E-24
     0.1920        1.555E-24      2.260E-24
     0.0659        1.383E-24      1.403E-24
