Wavelength [nm]  ScatXS [cm^2]  AbsXS [cm^2]
     0.0659          0.235           0.486
     0.1370          0.331           3.058
     0.2680          0.511          22.720
     0.5210          0.791         167.700
     0.8320          1.000         655.700
     1.0160          1.079        1177.100
     1.2410          1.142        2080.600
     1.5160          1.184        3608.400
     1.9800          1.202        7390.200
     2.4190          1.185       12450.000
     3.1590          1.120       24140.000
     3.6100          1.072       32790.000
     4.1260          1.014       43460.000
     4.3470          0.990       48380.000
     4.3730          0.987        2190.000
     4.4580          0.977        2290.000
     5.0400          0.914        3049.000
     6.1570          0.803        4843.000
     7.5210          0.686        7642.000
     8.5950          0.608       10310.000
     9.8220          0.533       13850.000
    11.2200          0.461       18380.000
    12.8300          0.394       24150.000
    14.6600          0.332       31460.000
    16.7500          0.276       40580.000
