Wavelength [nm]  ScatXS [cm^2]  AbsXS [cm^2]
     0.0659          0.397           0.397
     0.2500          0.359           0.388
     0.4880          0.373           0.666
     0.9510          0.504           3.340
     1.5160          0.687          14.250
     1.9800          0.821          33.680
     2.7700          1.002          99.160
     3.3770          1.110         189.000
     3.8600          1.180         290.000
     4.4100          1.240         444.700
     5.3900          1.320         839.500
     6.5800          1.380        1580.000
     7.5200          1.408        2390.000
     8.6000          1.422        3610.000
     9.8200          1.422        5440.000
    11.2200          1.410        8180.000
    12.8300          1.380       12250.000
    14.6600          1.350       18300.000
    16.7500          1.290       27200.000
