   .659  .208   .211
   1.92  .234   .340
   3.27   .282  .971
   5.57   .358   4.75
   8.32   .414   17.55
   12.41   .441   65.46
   16.2   .433   152.4
   19.8   .412   282.8
   25.86   .365  631.4
   31.6   .32   1134.
   36.1  .287  1663.
   41.3   .254  2422.
   47.2   .22   3506.
   50.4   .203  4208.
   57.6   .171   6062.
   65.8   .142   8592.
   75.2   .115   1.216e+04
   86.    .092   1.71e+04
   98.2   .072   2.39e+04
   112.2  .0547  3.32e+04
   128.3  .041   4.57e+04
   146.6  .03   6.27e+04
   167.5  .022   8.54e+04
