Wavelength [nm]  ScatXS [cm^2]  AbsXS [cm^2]
     0.0659          0.208           0.211
     0.1920          0.234           0.340
     0.3270          0.282           0.971
     0.5570          0.358           4.750
     0.8320          0.414          17.550
     1.2410          0.441          65.460
     1.6200          0.433         152.400
     1.9800          0.412         282.800
     2.5860          0.365         631.400
     3.1600          0.320        1134.000
     3.6100          0.287        1663.000
     4.1300          0.254        2422.000
     4.7200          0.220        3506.000
     5.0400          0.203        4208.000
     5.7600          0.171        6062.000
     6.5800          0.142        8592.000
     7.5200          0.115       12160.000
     8.6000          0.092       17100.000
     9.8200          0.072       23900.000
    11.2200          0.055       33200.000
    12.8300          0.041       45700.000
    14.6600          0.030       62700.000
    16.7500          0.022       85400.000
