   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660           11              0.2979              69.84           130.718
    240.265           15              0.1373              76.47            65.984
    323.600           20              0.0635             118.13            47.097
    476.525           30              0.0243             211.43            32.291
    746.455           47              0.0088             239.89            13.240
    956.315           60              0.0034             471.77             9.934
   1690.000          106              0.0005            1266.84             3.840
   3490.000          218              0.0000            2805.00             0.000
   7300.000          456              0.0000            4605.00             0.000
 Interpolated Oxygen Values
   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    135.620            8              0.4184               8.26            21.709
    152.135           10              0.3616              17.52            39.807
    170.660           11              0.2979              16.88            31.595
    185.897           12              0.2455              15.92            24.547
    202.494           13              0.2023              17.34            22.033
    220.572           14              0.1667              18.89            19.776
    240.265           15              0.1373              19.13            16.507
    258.833           16              0.1132              19.29            13.720
    278.836           17              0.0933              20.78            12.186
    300.386           19              0.0770              22.38            10.823
    323.600           20              0.0635              28.04            11.181
    356.474           22              0.0499              34.54            10.835
    392.688           25              0.0393              38.05             9.390
    432.580           27              0.0309              41.92             8.138
    476.525           30              0.0243              50.26             7.677
    533.108           33              0.0188              59.94             7.098
    596.410           37              0.0146              67.06             6.157
    667.228           42              0.0113              75.02             5.340
    746.455           47              0.0088              63.46             3.502
    794.151           50              0.0069              49.22             2.135
    844.894           53              0.0054              52.36             1.785
    898.880           56              0.0043              55.71             1.493
    956.315           60              0.0034             101.87             2.145
   1102.611           69              0.0021             157.49             2.043
   1271.288           79              0.0013             181.58             1.451
   1465.768           92              0.0008             209.36             1.030
   1690.000          106              0.0005             280.07             0.849
   2025.916          127              0.0000             369.30             0.000
   2428.600          152              0.0000             442.70             0.000
   2911.325          182              0.0000             530.70             0.000
   3490.000          218              0.0000             642.89             0.000
   4197.105          262              0.0000             778.74             0.000
   5047.475          315              0.0000             936.52             0.000
   6070.137          379              0.0000            1126.26             0.000
   7300.000          456              0.0000            1236.93             0.000
   8544.004          534                 NaN            1350.00               NaN
  10000.000          625                 NaN             728.00               NaN
 Total number of oxygen ions:                       NaN
