   Energy Bin:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660        249.8533              66.00        103611.709
    240.265        339.6671              71.00        151527.570
    323.600        278.9519             105.00        184034.158
    476.525        219.7899             216.00        298291.825
    746.455         89.5017             346.00        194575.095
    956.315         43.6147             251.00         68783.834
   1240.355         22.5555             300.00         42516.078
   1930.355          8.6870             880.00         48032.187
   3490.000          3.0181            2280.00         43236.425
   7300.000          0.9136            5340.00         30653.691
 Interpolated Oxygen Values
   Energy Bin:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660        249.8533              33.28         52242.746
    185.897        269.7908              15.92         26981.224
    202.494        291.3193              17.34         31735.361
    220.572        314.5657              18.89         37327.185
    240.265        339.6671              19.13         40828.139
    258.833        323.3497              19.29         39182.126
    278.836        307.8161              20.78         40182.454
    300.386        293.0288              22.38         41208.320
    323.600        278.9519              28.04         49153.266
    356.474        262.8142              34.54         57042.477
    392.688        247.6102              38.05         59202.124
    432.580        233.2857              41.92         61443.535
    476.525        219.7899              50.26         69413.620
    533.108        175.5754              59.94         66126.733
    596.410        140.2554              67.06         59096.593
    667.228        112.0406              75.02         52813.848
    746.455         89.5017              63.46         35687.928
    794.151         74.7793              49.22         23125.938
    844.894         62.4787              52.36         20556.495
    898.880         52.2014              55.71         18272.534
    956.315         43.6147              60.84         16672.144
   1020.557         36.9860              66.40         15430.623
   1089.114         31.3648              70.86         13964.473
   1162.277         26.5979              75.62         12637.630
   1240.355         22.5555             111.55         15809.063
   1385.380         17.7687             153.50         17137.717
   1547.361         13.9978             171.45         15079.266
   1728.281         11.0272             191.50         13268.060
   1930.355          8.6870             255.05         13921.176
   2238.382          6.6694             332.60         13937.742
   2595.561          5.1204             385.68         12408.114
   3009.736          3.9311             447.22         11046.359
   3490.000          3.0181             593.68         11258.242
   4197.105          2.2387             778.74         10953.743
   5047.475          1.6605             936.52          9771.102
   6070.137          1.2317            1126.26          8716.148
   7300.000          0.9136            1297.43          7447.762
   8664.999          0.6526            1350.00          5535.380
  10000.001          0.5221             667.50          2189.548
 Total number of oxygen ions:   1108806.9400089302     
