   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    170.660            5              0.1489              69.84            65.359
    240.265            8              0.0687              80.16            34.582
    330.970           10              0.0311             186.22            36.348
    612.705           19              0.0150             269.31            25.351
    869.600           27              0.0047             568.65            16.737
   1750.000           55              0.0011            1395.20             9.207
   3660.000          114              0.0000            2830.00             0.000
   7410.000          232              0.0000            4465.00             0.000
 Interpolated Sulfur Values
   Energy Bin:  Energy [keV/u]:  JEDI Intensity:  Energy Bin Width:  Normalized Flux:
    135.620            4              0.2092               8.26            10.855
    152.135            5              0.1808              17.52            19.903
    170.660            5              0.1489              16.88            15.797
    185.897            6              0.1227              15.92            12.274
    202.494            6              0.1011              17.34            11.017
    220.572            7              0.0833              18.89             9.888
    240.265            8              0.0687              19.86             8.569
    260.295            8              0.0563              20.86             7.383
    281.994            9              0.0462              22.60             6.559
    305.502           10              0.0379              24.49             5.828
    330.970           10              0.0311              40.28             7.862
    386.060           12              0.0259              59.67             9.706
    450.319           14              0.0216              69.61             9.435
    525.274           16              0.0180              81.19             9.171
    612.705           19              0.0150              71.74             6.753
    668.757           21              0.0112              58.62             4.126
    729.937           23              0.0084              63.98             3.368
    796.714           25              0.0063              69.83             2.749
    869.600           27              0.0047             119.51             3.518
   1035.736           32              0.0032             182.01             3.686
   1233.613           39              0.0022             216.78             3.021
   1469.293           46              0.0015             258.19             2.476
   1750.000           55              0.0011             317.60             2.096
   2104.499           66              0.0000             390.41             0.000
   2530.810           79              0.0000             469.49             0.000
   3043.479           95              0.0000             564.59             0.000
   3660.000          114              0.0000             661.17             0.000
   4365.815          136              0.0000             773.87             0.000
   5207.744          163              0.0000             923.11             0.000
   6212.035          194              0.0000            1101.13             0.000
   7410.000          232              0.0000            1198.05             0.000
   8608.136          269              0.0000            1295.00             0.000
  10000.000          313              0.0000             695.93             0.000
 Total number of sulfur ions:   176.03948012896979     
