 Total Production Rate:
                1.049E+04  1.040E+04  7.726E+03  2.671E+03  8.944E+01  7.511E+01  1.265E+01  1.427E+00  2.035E-01  4.947E-02  5.578E-03  0.000E+00

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      8.991E-07  8.934E-07  0.000E+00  8.934E-07  5.747E-09  5.746E-09  6.807E-15  2.944E-14  1.069E-20  0.000E+00  1.586E-12  0.000E+00
    101.00      1.168E-06  1.161E-06  0.000E+00  1.161E-06  7.799E-09  7.797E-09  9.853E-15  3.851E-14  1.623E-20  0.000E+00  2.037E-12  0.000E+00
    102.00      1.515E-06  1.504E-06  0.000E+00  1.504E-06  1.056E-08  1.056E-08  1.423E-14  5.026E-14  3.809E-20  0.000E+00  2.610E-12  0.000E+00
    103.00      1.958E-06  1.944E-06  0.000E+00  1.944E-06  1.426E-08  1.425E-08  2.050E-14  6.544E-14  6.799E-20  0.000E+00  3.336E-12  0.000E+00
    104.00      2.526E-06  2.507E-06  0.000E+00  2.507E-06  1.920E-08  1.920E-08  2.946E-14  8.502E-14  1.153E-19  0.000E+00  4.254E-12  0.000E+00
    105.00      3.250E-06  3.224E-06  0.000E+00  3.224E-06  2.580E-08  2.580E-08  4.223E-14  1.102E-13  1.718E-19  0.000E+00  5.410E-12  0.000E+00
    106.00      4.172E-06  4.137E-06  0.000E+00  4.137E-06  3.459E-08  3.458E-08  6.039E-14  1.425E-13  2.678E-19  0.000E+00  6.864E-12  0.000E+00
    107.00      5.341E-06  5.295E-06  0.000E+00  5.295E-06  4.624E-08  4.623E-08  8.616E-14  1.839E-13  3.963E-19  0.000E+00  8.688E-12  0.000E+00
    108.00      6.822E-06  6.760E-06  0.000E+00  6.760E-06  6.168E-08  6.167E-08  1.226E-13  2.367E-13  5.956E-19  0.000E+00  1.097E-11  0.000E+00
    109.00      8.692E-06  8.610E-06  0.000E+00  8.610E-06  8.206E-08  8.205E-08  1.741E-13  3.041E-13  8.771E-19  0.000E+00  1.382E-11  0.000E+00
    110.00      1.105E-05  1.094E-05  0.000E+00  1.094E-05  1.089E-07  1.089E-07  2.466E-13  3.897E-13  1.289E-18  0.000E+00  1.736E-11  0.000E+00
    111.00      1.400E-05  1.386E-05  0.000E+00  1.386E-05  1.442E-07  1.442E-07  3.484E-13  4.984E-13  1.889E-18  0.000E+00  2.177E-11  0.000E+00
    112.00      1.771E-05  1.752E-05  0.000E+00  1.752E-05  1.904E-07  1.904E-07  4.910E-13  6.360E-13  2.763E-18  0.000E+00  2.722E-11  0.000E+00
    113.00      2.235E-05  2.209E-05  0.000E+00  2.209E-05  2.509E-07  2.508E-07  6.904E-13  8.099E-13  4.032E-18  0.000E+00  3.396E-11  0.000E+00
    114.00      2.812E-05  2.779E-05  0.000E+00  2.779E-05  3.297E-07  3.296E-07  9.685E-13  1.029E-12  5.885E-18  0.000E+00  4.226E-11  0.000E+00
    115.00      3.530E-05  3.487E-05  0.000E+00  3.487E-05  4.322E-07  4.321E-07  1.355E-12  1.305E-12  8.548E-18  0.000E+00  5.248E-11  0.000E+00
    116.00      4.421E-05  4.365E-05  0.000E+00  4.365E-05  5.652E-07  5.651E-07  1.892E-12  1.651E-12  1.239E-17  0.000E+00  6.500E-11  0.000E+00
    117.00      5.523E-05  5.449E-05  0.000E+00  5.449E-05  7.373E-07  7.372E-07  2.635E-12  2.085E-12  1.791E-17  0.000E+00  8.032E-11  0.000E+00
    118.00      6.883E-05  6.787E-05  0.000E+00  6.787E-05  9.594E-07  9.592E-07  3.660E-12  2.627E-12  2.584E-17  0.000E+00  9.903E-11  0.000E+00
    119.00      8.556E-05  8.432E-05  0.000E+00  8.432E-05  1.245E-06  1.245E-06  5.073E-12  3.304E-12  3.719E-17  0.000E+00  1.218E-10  0.000E+00
    120.00      1.061E-04  1.045E-04  0.000E+00  1.045E-04  1.612E-06  1.612E-06  7.014E-12  4.147E-12  5.340E-17  0.000E+00  1.494E-10  0.000E+00
    121.00      1.313E-04  1.292E-04  0.000E+00  1.292E-04  2.083E-06  2.083E-06  9.674E-12  5.194E-12  7.650E-17  0.000E+00  1.830E-10  0.000E+00
    122.00      1.620E-04  1.593E-04  0.000E+00  1.593E-04  2.684E-06  2.683E-06  1.331E-11  6.494E-12  1.093E-16  0.000E+00  2.234E-10  0.000E+00
    123.00      1.994E-04  1.959E-04  0.000E+00  1.959E-04  3.449E-06  3.449E-06  1.827E-11  8.103E-12  1.559E-16  0.000E+00  2.723E-10  0.000E+00
    124.00      2.449E-04  2.404E-04  0.000E+00  2.404E-04  4.422E-06  4.422E-06  2.502E-11  1.009E-11  2.217E-16  0.000E+00  3.310E-10  0.000E+00
    125.00      3.000E-04  2.943E-04  0.000E+00  2.943E-04  5.656E-06  5.656E-06  3.418E-11  1.255E-11  3.147E-16  0.000E+00  4.015E-10  0.000E+00
    126.00      3.665E-04  3.593E-04  0.000E+00  3.593E-04  7.216E-06  7.216E-06  4.659E-11  1.557E-11  4.456E-16  0.000E+00  4.858E-10  0.000E+00
    127.00      4.468E-04  4.377E-04  0.000E+00  4.377E-04  9.184E-06  9.184E-06  6.335E-11  1.928E-11  6.294E-16  0.000E+00  5.866E-10  0.000E+00
