 Total Production Rate:  1.592E+03

           652.723   773.598
     2.00 1.353E+03 2.389E+02

           652.723   773.598
  2998.00 0.000E+00 0.000E+00
  2996.00 0.000E+00 0.000E+00
  2994.00 0.000E+00 0.000E+00
  2992.00 0.000E+00 0.000E+00
  2990.00 0.000E+00 0.000E+00
  2988.00 0.000E+00 0.000E+00
  2986.00 0.000E+00 0.000E+00
  2984.00 0.000E+00 0.000E+00
  2982.00 0.000E+00 0.000E+00
  2980.00 0.000E+00 0.000E+00
  2978.00 0.000E+00 0.000E+00
  2976.00 0.000E+00 0.000E+00
  2974.00 0.000E+00 0.000E+00
  2972.00 0.000E+00 0.000E+00
  2970.00 0.000E+00 0.000E+00
  2968.00 0.000E+00 0.000E+00
  2966.00 0.000E+00 0.000E+00
  2964.00 0.000E+00 0.000E+00
  2962.00 0.000E+00 0.000E+00
  2960.00 0.000E+00 0.000E+00
  2958.00 0.000E+00 0.000E+00
  2956.00 0.000E+00 0.000E+00
  2954.00 0.000E+00 0.000E+00
  2952.00 0.000E+00 0.000E+00
  2950.00 0.000E+00 0.000E+00
  2948.00 0.000E+00 0.000E+00
  2946.00 0.000E+00 0.000E+00
  2944.00 0.000E+00 0.000E+00
  2942.00 0.000E+00 0.000E+00
  2940.00 0.000E+00 0.000E+00
  2938.00 0.000E+00 0.000E+00
  2936.00 0.000E+00 0.000E+00
  2934.00 0.000E+00 0.000E+00
  2932.00 0.000E+00 0.000E+00
  2930.00 0.000E+00 0.000E+00
  2928.00 0.000E+00 0.000E+00
  2926.00 0.000E+00 0.000E+00
  2924.00 0.000E+00 0.000E+00
  2922.00 0.000E+00 0.000E+00
  2920.00 0.000E+00 0.000E+00
  2918.00 0.000E+00 0.000E+00
  2916.00 0.000E+00 0.000E+00
  2914.00 0.000E+00 0.000E+00
  2912.00 0.000E+00 0.000E+00
  2910.00 0.000E+00 0.000E+00
  2908.00 0.000E+00 0.000E+00
  2906.00 0.000E+00 0.000E+00
  2904.00 0.000E+00 0.000E+00
  2902.00 0.000E+00 0.000E+00
  2900.00 0.000E+00 0.000E+00
  2898.00 0.000E+00 0.000E+00
  2896.00 0.000E+00 0.000E+00
  2894.00 0.000E+00 0.000E+00
  2892.00 0.000E+00 0.000E+00
  2890.00 0.000E+00 0.000E+00
  2888.00 0.000E+00 0.000E+00
  2886.00 0.000E+00 0.000E+00
  2884.00 0.000E+00 0.000E+00
  2882.00 0.000E+00 0.000E+00
  2880.00 0.000E+00 0.000E+00
  2878.00 0.000E+00 0.000E+00
  2876.00 0.000E+00 0.000E+00
  2874.00 0.000E+00 0.000E+00
  2872.00 0.000E+00 0.000E+00
  2870.00 0.000E+00 0.000E+00
  2868.00 0.000E+00 0.000E+00
  2866.00 0.000E+00 0.000E+00
  2864.00 0.000E+00 0.000E+00
  2862.00 0.000E+00 0.000E+00
  2860.00 0.000E+00 0.000E+00
  2858.00 0.000E+00 0.000E+00
  2856.00 0.000E+00 0.000E+00
  2854.00 0.000E+00 0.000E+00
  2852.00 0.000E+00 0.000E+00
  2850.00 0.000E+00 0.000E+00
  2848.00 0.000E+00 0.000E+00
  2846.00 0.000E+00 0.000E+00
  2844.00 0.000E+00 0.000E+00
  2842.00 0.000E+00 0.000E+00
  2840.00 0.000E+00 0.000E+00
  2838.00 0.000E+00 0.000E+00
  2836.00 0.000E+00 0.000E+00
  2834.00 0.000E+00 0.000E+00
  2832.00 0.000E+00 0.000E+00
  2830.00 0.000E+00 0.000E+00
  2828.00 0.000E+00 0.000E+00
  2826.00 0.000E+00 0.000E+00
  2824.00 0.000E+00 0.000E+00
  2822.00 0.000E+00 0.000E+00
  2820.00 0.000E+00 0.000E+00
  2818.00 0.000E+00 0.000E+00
  2816.00 0.000E+00 0.000E+00
  2814.00 0.000E+00 0.000E+00
  2812.00 0.000E+00 0.000E+00
  2810.00 0.000E+00 0.000E+00
  2808.00 0.000E+00 0.000E+00
  2806.00 0.000E+00 0.000E+00
  2804.00 0.000E+00 0.000E+00
  2802.00 0.000E+00 0.000E+00
  2800.00 0.000E+00 0.000E+00
  2798.00 0.000E+00 0.000E+00
  2796.00 0.000E+00 0.000E+00
  2794.00 0.000E+00 0.000E+00
  2792.00 0.000E+00 0.000E+00
  2790.00 0.000E+00 0.000E+00
  2788.00 0.000E+00 0.000E+00
  2786.00 0.000E+00 0.000E+00
  2784.00 0.000E+00 0.000E+00
  2782.00 0.000E+00 0.000E+00
  2780.00 0.000E+00 0.000E+00
  2778.00 0.000E+00 0.000E+00
  2776.00 0.000E+00 0.000E+00
  2774.00 0.000E+00 0.000E+00
  2772.00 0.000E+00 0.000E+00
  2770.00 0.000E+00 0.000E+00
  2768.00 0.000E+00 0.000E+00
  2766.00 0.000E+00 0.000E+00
  2764.00 0.000E+00 0.000E+00
  2762.00 0.000E+00 0.000E+00
  2760.00 0.000E+00 0.000E+00
  2758.00 0.000E+00 0.000E+00
  2756.00 0.000E+00 0.000E+00
