 Total Production Rate:
                1.065E+04  1.056E+04  7.857E+03  2.702E+03  9.490E+01  8.014E+01  1.305E+01  1.456E+00  2.055E-01  4.983E-02  5.616E-03  0.000E+00

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      1.132E-06  1.126E-06  0.000E+00  1.126E-06  6.194E-09  6.192E-09  7.107E-15  3.128E-14  1.095E-20  0.000E+00  1.656E-12  0.000E+00
    101.00      1.471E-06  1.463E-06  0.000E+00  1.463E-06  8.406E-09  8.403E-09  1.029E-14  4.092E-14  1.661E-20  0.000E+00  2.127E-12  0.000E+00
    102.00      1.907E-06  1.896E-06  0.000E+00  1.896E-06  1.138E-08  1.138E-08  1.486E-14  5.340E-14  3.904E-20  0.000E+00  2.725E-12  0.000E+00
    103.00      2.466E-06  2.450E-06  0.000E+00  2.450E-06  1.536E-08  1.536E-08  2.140E-14  6.953E-14  6.967E-20  0.000E+00  3.483E-12  0.000E+00
    104.00      3.180E-06  3.160E-06  0.000E+00  3.160E-06  2.070E-08  2.069E-08  3.076E-14  9.032E-14  1.181E-19  0.000E+00  4.441E-12  0.000E+00
    105.00      4.092E-06  4.064E-06  0.000E+00  4.064E-06  2.781E-08  2.780E-08  4.409E-14  1.171E-13  1.760E-19  0.000E+00  5.648E-12  0.000E+00
    106.00      5.251E-06  5.214E-06  0.000E+00  5.214E-06  3.727E-08  3.727E-08  6.305E-14  1.514E-13  2.745E-19  0.000E+00  7.166E-12  0.000E+00
    107.00      6.723E-06  6.673E-06  0.000E+00  6.673E-06  4.984E-08  4.983E-08  8.995E-14  1.953E-13  4.062E-19  0.000E+00  9.070E-12  0.000E+00
    108.00      8.586E-06  8.520E-06  0.000E+00  8.520E-06  6.647E-08  6.646E-08  1.280E-13  2.514E-13  6.104E-19  0.000E+00  1.145E-11  0.000E+00
    109.00      1.094E-05  1.085E-05  0.000E+00  1.085E-05  8.843E-08  8.842E-08  1.818E-13  3.229E-13  8.990E-19  0.000E+00  1.443E-11  0.000E+00
    110.00      1.390E-05  1.378E-05  0.000E+00  1.378E-05  1.174E-07  1.173E-07  2.574E-13  4.138E-13  1.321E-18  0.000E+00  1.813E-11  0.000E+00
    111.00      1.762E-05  1.747E-05  0.000E+00  1.747E-05  1.554E-07  1.554E-07  3.637E-13  5.292E-13  1.936E-18  0.000E+00  2.272E-11  0.000E+00
    112.00      2.229E-05  2.208E-05  0.000E+00  2.208E-05  2.052E-07  2.052E-07  5.126E-13  6.753E-13  2.832E-18  0.000E+00  2.841E-11  0.000E+00
    113.00      2.811E-05  2.784E-05  0.000E+00  2.784E-05  2.703E-07  2.703E-07  7.208E-13  8.598E-13  4.132E-18  0.000E+00  3.545E-11  0.000E+00
    114.00      3.538E-05  3.502E-05  0.000E+00  3.502E-05  3.553E-07  3.552E-07  1.011E-12  1.092E-12  6.031E-18  0.000E+00  4.412E-11  0.000E+00
    115.00      4.441E-05  4.394E-05  0.000E+00  4.394E-05  4.657E-07  4.657E-07  1.415E-12  1.385E-12  8.760E-18  0.000E+00  5.477E-11  0.000E+00
    116.00      5.561E-05  5.500E-05  0.000E+00  5.500E-05  6.090E-07  6.089E-07  1.975E-12  1.752E-12  1.270E-17  0.000E+00  6.785E-11  0.000E+00
    117.00      6.946E-05  6.866E-05  0.000E+00  6.866E-05  7.944E-07  7.943E-07  2.750E-12  2.212E-12  1.836E-17  0.000E+00  8.384E-11  0.000E+00
    118.00      8.655E-05  8.551E-05  0.000E+00  8.551E-05  1.034E-06  1.034E-06  3.821E-12  2.787E-12  2.648E-17  0.000E+00  1.034E-10  0.000E+00
    119.00      1.076E-04  1.062E-04  0.000E+00  1.062E-04  1.342E-06  1.342E-06  5.295E-12  3.505E-12  3.811E-17  0.000E+00  1.271E-10  0.000E+00
    120.00      1.334E-04  1.317E-04  0.000E+00  1.317E-04  1.737E-06  1.737E-06  7.321E-12  4.398E-12  5.472E-17  0.000E+00  1.560E-10  0.000E+00
    121.00      1.650E-04  1.627E-04  0.000E+00  1.627E-04  2.244E-06  2.244E-06  1.010E-11  5.508E-12  7.838E-17  0.000E+00  1.909E-10  0.000E+00
    122.00      2.036E-04  2.007E-04  0.000E+00  2.007E-04  2.891E-06  2.891E-06  1.389E-11  6.885E-12  1.120E-16  0.000E+00  2.332E-10  0.000E+00
    123.00      2.506E-04  2.469E-04  0.000E+00  2.469E-04  3.716E-06  3.716E-06  1.907E-11  8.590E-12  1.597E-16  0.000E+00  2.841E-10  0.000E+00
    124.00      3.077E-04  3.029E-04  0.000E+00  3.029E-04  4.765E-06  4.765E-06  2.612E-11  1.070E-11  2.272E-16  0.000E+00  3.454E-10  0.000E+00
    125.00      3.768E-04  3.708E-04  0.000E+00  3.708E-04  6.094E-06  6.094E-06  3.568E-11  1.330E-11  3.224E-16  0.000E+00  4.189E-10  0.000E+00
    126.00      4.604E-04  4.527E-04  0.000E+00  4.527E-04  7.775E-06  7.774E-06  4.863E-11  1.649E-11  4.565E-16  0.000E+00  5.069E-10  0.000E+00
    127.00      5.612E-04  5.513E-04  0.000E+00  5.513E-04  9.895E-06  9.894E-06  6.611E-11  2.043E-11  6.448E-16  0.000E+00  6.120E-10  0.000E+00
    128.00      6.824E-04  6.698E-04  0.000E+00  6.698E-04  1.256E-05  1.256E-05  8.967E-11  2.525E-11  9.087E-16  0.000E+00  7.372E-10  0.000E+00
    129.00      8.277E-04  8.117E-04  0.000E+00  8.117E-04  1.591E-05  1.591E-05  1.213E-10  3.117E-11  1.277E-15  0.000E+00  8.860E-10  0.000E+00
    130.00      1.001E-03  9.813E-04  0.000E+00  9.813E-04  2.010E-05  2.010E-05  1.638E-10  3.840E-11  1.792E-15  0.000E+00  1.062E-09  0.000E+00
    131.00      1.209E-03  1.183E-03  0.000E+00  1.183E-03  2.533E-05  2.533E-05  2.206E-10  4.724E-11  2.507E-15  0.000E+00  1.271E-09  0.000E+00
    132.00      1.455E-03  1.424E-03  0.000E+00  1.424E-03  3.184E-05  3.184E-05  2.964E-10  5.801E-11  3.499E-15  0.000E+00  1.517E-09  0.000E+00
    133.00      1.748E-03  1.708E-03  0.000E+00  1.708E-03  3.993E-05  3.992E-05  3.973E-10  7.114E-11  4.873E-15  0.000E+00  1.807E-09  0.000E+00
    134.00      2.095E-03  2.045E-03  0.000E+00  2.045E-03  4.994E-05  4.994E-05  5.312E-10  8.709E-11  6.770E-15  0.000E+00  2.148E-09  0.000E+00
    135.00      2.504E-03  2.441E-03  0.000E+00  2.441E-03  6.232E-05  6.232E-05  7.086E-10  1.065E-10  9.383E-15  0.000E+00  2.548E-09  0.000E+00
    136.00      2.985E-03  2.908E-03  0.000E+00  2.908E-03  7.758E-05  7.757E-05  9.431E-10  1.300E-10  1.297E-14  0.000E+00  3.015E-09  0.000E+00
    137.00      3.551E-03  3.455E-03  0.000E+00  3.455E-03  9.633E-05  9.632E-05  1.252E-09  1.585E-10  1.790E-14  0.000E+00  3.560E-09  0.000E+00
    138.00      4.214E-03  4.095E-03  0.000E+00  4.095E-03  1.193E-04  1.193E-04  1.659E-09  1.929E-10  2.463E-14  0.000E+00  4.195E-09  0.000E+00
    139.00      4.988E-03  4.841E-03  0.000E+00  4.841E-03  1.474E-04  1.474E-04  2.192E-09  2.346E-10  3.381E-14  0.000E+00  4.932E-09  0.000E+00
    140.00      5.891E-03  5.709E-03  0.000E+00  5.709E-03  1.817E-04  1.817E-04  2.890E-09  2.849E-10  4.630E-14  0.000E+00  5.787E-09  0.000E+00
    141.00      6.939E-03  6.716E-03  0.000E+00  6.716E-03  2.234E-04  2.234E-04  3.801E-09  3.456E-10  6.327E-14  0.000E+00  6.776E-09  0.000E+00
    142.00      8.155E-03  7.881E-03  0.000E+00  7.881E-03  2.741E-04  2.740E-04  4.989E-09  4.187E-10  8.623E-14  0.000E+00  7.918E-09  0.000E+00
    143.00      9.561E-03  9.225E-03  0.000E+00  9.225E-03  3.353E-04  3.353E-04  6.531E-09  5.067E-10  1.173E-13  1.462E-20  9.233E-09  0.000E+00
    144.00      1.118E-02  1.077E-02  0.000E+00  1.077E-02  4.092E-04  4.092E-04  8.531E-09  6.126E-10  1.591E-13  2.136E-20  1.074E-08  0.000E+00
    145.00      1.305E-02  1.255E-02  0.000E+00  1.255E-02  4.983E-04  4.982E-04  1.112E-08  7.399E-10  2.152E-13  3.111E-20  1.248E-08  0.000E+00
    146.00      1.518E-02  1.458E-02  0.000E+00  1.458E-02  6.051E-04  6.051E-04  1.445E-08  8.927E-10  2.906E-13  4.522E-20  1.446E-08  0.000E+00
    147.00      1.763E-02  1.690E-02  0.000E+00  1.690E-02  7.332E-04  7.331E-04  1.875E-08  1.076E-09  3.913E-13  6.556E-20  1.673E-08  0.000E+00
    148.00      2.042E-02  1.954E-02  0.000E+00  1.954E-02  8.861E-04  8.860E-04  2.426E-08  1.296E-09  5.257E-13  9.480E-20  1.931E-08  0.000E+00
    149.00      2.360E-02  2.253E-02  0.000E+00  2.253E-02  1.068E-03  1.068E-03  3.132E-08  1.559E-09  7.046E-13  1.367E-19  2.225E-08  0.000E+00
    150.00      2.721E-02  2.592E-02  0.000E+00  2.592E-02  1.285E-03  1.285E-03  4.035E-08  1.875E-09  9.421E-13  1.968E-19  2.559E-08  0.000E+00
    151.00      3.129E-02  2.975E-02  0.000E+00  2.975E-02  1.541E-03  1.541E-03  5.185E-08  2.252E-09  1.257E-12  3.083E-19  2.937E-08  0.000E+00
    152.00      3.590E-02  3.405E-02  0.000E+00  3.405E-02  1.844E-03  1.844E-03  6.649E-08  2.704E-09  1.672E-12  4.433E-19  3.365E-08  0.000E+00
    153.00      4.109E-02  3.889E-02  0.000E+00  3.889E-02  2.202E-03  2.202E-03  8.505E-08  3.244E-09  2.219E-12  6.360E-19  3.848E-08  0.000E+00
