 Total Production Rate:
                2.253E+06  2.230E+06  1.716E+06  5.142E+05  2.290E+04  1.947E+04  3.049E+03  3.279E+02  4.512E+01  1.087E+01  1.179E+00  0.000E+00

 Phot Eng [eV]      Total    O_Total         O6         O7    S_Total         S8         S9        S10        S11        S12        S13        S14
    100.00      1.893E-04  1.878E-04  0.000E+00  1.878E-04  1.496E-06  1.495E-06  1.651E-12  6.875E-12  5.542E-18  0.000E+00  3.382E-10  0.000E+00
    101.00      2.461E-04  2.440E-04  0.000E+00  2.440E-04  2.030E-06  2.029E-06  2.391E-12  8.993E-12  8.325E-18  0.000E+00  4.344E-10  0.000E+00
    102.00      3.190E-04  3.162E-04  0.000E+00  3.162E-04  2.747E-06  2.747E-06  3.452E-12  1.174E-11  1.246E-17  0.000E+00  5.565E-10  0.000E+00
    103.00      4.125E-04  4.088E-04  0.000E+00  4.088E-04  3.710E-06  3.709E-06  4.973E-12  1.528E-11  1.860E-17  0.000E+00  7.113E-10  0.000E+00
    104.00      5.321E-04  5.271E-04  0.000E+00  5.271E-04  4.997E-06  4.996E-06  7.147E-12  1.985E-11  2.770E-17  0.000E+00  9.068E-10  0.000E+00
    105.00      6.847E-04  6.779E-04  0.000E+00  6.779E-04  6.715E-06  6.713E-06  1.025E-11  2.573E-11  4.117E-17  0.000E+00  1.153E-09  0.000E+00
    106.00      8.788E-04  8.698E-04  0.000E+00  8.698E-04  9.000E-06  8.998E-06  1.465E-11  3.327E-11  6.105E-17  0.000E+00  1.463E-09  0.000E+00
    107.00      1.125E-03  1.113E-03  0.000E+00  1.113E-03  1.203E-05  1.203E-05  2.090E-11  4.293E-11  9.032E-17  0.000E+00  1.852E-09  0.000E+00
    108.00      1.437E-03  1.421E-03  0.000E+00  1.421E-03  1.605E-05  1.605E-05  2.975E-11  5.527E-11  1.333E-16  0.000E+00  2.339E-09  0.000E+00
    109.00      1.831E-03  1.810E-03  0.000E+00  1.810E-03  2.135E-05  2.135E-05  4.224E-11  7.099E-11  1.964E-16  0.000E+00  2.946E-09  0.000E+00
    110.00      2.328E-03  2.300E-03  0.000E+00  2.300E-03  2.834E-05  2.834E-05  5.982E-11  9.099E-11  2.885E-16  0.000E+00  3.702E-09  0.000E+00
    111.00      2.952E-03  2.914E-03  0.000E+00  2.914E-03  3.752E-05  3.752E-05  8.452E-11  1.164E-10  4.230E-16  0.000E+00  4.640E-09  0.000E+00
    112.00      3.733E-03  3.684E-03  0.000E+00  3.684E-03  4.955E-05  4.955E-05  1.191E-10  1.485E-10  6.187E-16  0.000E+00  5.803E-09  0.000E+00
    113.00      4.710E-03  4.645E-03  0.000E+00  4.645E-03  6.528E-05  6.527E-05  1.675E-10  1.891E-10  9.029E-16  0.000E+00  7.239E-09  0.000E+00
    114.00      5.929E-03  5.843E-03  0.000E+00  5.843E-03  8.579E-05  8.578E-05  2.350E-10  2.403E-10  1.315E-15  0.000E+00  9.010E-09  0.000E+00
    115.00      7.444E-03  7.331E-03  0.000E+00  7.331E-03  1.125E-04  1.125E-04  3.288E-10  3.046E-10  1.910E-15  0.000E+00  1.119E-08  0.000E+00
    116.00      9.323E-03  9.176E-03  0.000E+00  9.176E-03  1.471E-04  1.471E-04  4.590E-10  3.855E-10  2.768E-15  0.000E+00  1.386E-08  0.000E+00
    117.00      1.165E-02  1.146E-02  0.000E+00  1.146E-02  1.918E-04  1.918E-04  6.392E-10  4.867E-10  4.002E-15  0.000E+00  1.712E-08  0.000E+00
    118.00      1.452E-02  1.427E-02  0.000E+00  1.427E-02  2.496E-04  2.496E-04  8.880E-10  6.133E-10  5.773E-15  0.000E+00  2.111E-08  0.000E+00
    119.00      1.805E-02  1.773E-02  0.000E+00  1.773E-02  3.240E-04  3.240E-04  1.231E-09  7.712E-10  8.308E-15  0.000E+00  2.596E-08  0.000E+00
    120.00      2.239E-02  2.197E-02  0.000E+00  2.197E-02  4.196E-04  4.195E-04  1.702E-09  9.679E-10  1.193E-14  0.000E+00  3.186E-08  0.000E+00
    121.00      2.770E-02  2.716E-02  0.000E+00  2.716E-02  5.420E-04  5.419E-04  2.347E-09  1.212E-09  1.709E-14  0.000E+00  3.900E-08  0.000E+00
    122.00      3.419E-02  3.349E-02  0.000E+00  3.349E-02  6.983E-04  6.982E-04  3.229E-09  1.516E-09  2.442E-14  0.000E+00  4.763E-08  0.000E+00
    123.00      4.209E-02  4.119E-02  0.000E+00  4.119E-02  8.975E-04  8.975E-04  4.433E-09  1.891E-09  3.482E-14  0.000E+00  5.804E-08  0.000E+00
    124.00      5.169E-02  5.054E-02  0.000E+00  5.054E-02  1.151E-03  1.151E-03  6.070E-09  2.355E-09  4.954E-14  0.000E+00  7.056E-08  0.000E+00
    125.00      6.334E-02  6.187E-02  0.000E+00  6.187E-02  1.472E-03  1.472E-03  8.293E-09  2.928E-09  7.030E-14  0.000E+00  8.558E-08  0.000E+00
    126.00      7.741E-02  7.554E-02  0.000E+00  7.554E-02  1.878E-03  1.878E-03  1.130E-08  3.633E-09  9.953E-14  0.000E+00  1.036E-07  0.000E+00
    127.00      9.439E-02  9.200E-02  0.000E+00  9.200E-02  2.390E-03  2.390E-03  1.537E-08  4.500E-09  1.406E-13  0.000E+00  1.250E-07  0.000E+00
    128.00      1.148E-01  1.118E-01  0.000E+00  1.118E-01  3.034E-03  3.034E-03  2.084E-08  5.564E-09  1.981E-13  0.000E+00  1.506E-07  0.000E+00
    129.00      1.393E-01  1.355E-01  0.000E+00  1.355E-01  3.842E-03  3.842E-03  2.821E-08  6.868E-09  2.785E-13  1.207E-20  1.810E-07  0.000E+00
    130.00      1.686E-01  1.638E-01  0.000E+00  1.638E-01  4.854E-03  4.854E-03  3.808E-08  8.463E-09  3.906E-13  1.826E-20  2.171E-07  0.000E+00
    131.00      2.036E-01  1.975E-01  0.000E+00  1.975E-01  6.117E-03  6.117E-03  5.128E-08  1.041E-08  5.466E-13  2.756E-20  2.597E-07  0.000E+00
    132.00      2.453E-01  2.376E-01  0.000E+00  2.376E-01  7.690E-03  7.690E-03  6.890E-08  1.279E-08  7.630E-13  4.148E-20  3.101E-07  0.000E+00
    133.00      2.947E-01  2.851E-01  0.000E+00  2.851E-01  9.643E-03  9.643E-03  9.235E-08  1.569E-08  1.063E-12  6.227E-20  3.694E-07  0.000E+00
    134.00      3.533E-01  3.412E-01  0.000E+00  3.412E-01  1.206E-02  1.206E-02  1.235E-07  1.921E-08  1.476E-12  9.326E-20  4.390E-07  0.000E+00
    135.00      4.225E-01  4.074E-01  0.000E+00  4.074E-01  1.505E-02  1.505E-02  1.647E-07  2.349E-08  2.046E-12  1.393E-19  5.207E-07  0.000E+00
    136.00      5.040E-01  4.853E-01  0.000E+00  4.853E-01  1.874E-02  1.874E-02  2.193E-07  2.868E-08  2.829E-12  2.076E-19  6.162E-07  0.000E+00
    137.00      5.999E-01  5.766E-01  0.000E+00  5.766E-01  2.327E-02  2.327E-02  2.911E-07  3.498E-08  3.902E-12  3.086E-19  7.277E-07  0.000E+00
    138.00      7.122E-01  6.834E-01  0.000E+00  6.834E-01  2.882E-02  2.882E-02  3.856E-07  4.259E-08  5.370E-12  4.702E-19  8.575E-07  0.000E+00
    139.00      8.436E-01  8.079E-01  0.000E+00  8.079E-01  3.561E-02  3.561E-02  5.097E-07  5.180E-08  7.373E-12  7.108E-19  1.008E-06  0.000E+00
    140.00      9.967E-01  9.528E-01  0.000E+00  9.528E-01  4.389E-02  4.389E-02  6.720E-07  6.293E-08  1.010E-11  1.051E-18  1.183E-06  0.000E+00
    141.00      1.175E+00  1.121E+00  0.000E+00  1.121E+00  5.397E-02  5.397E-02  8.839E-07  7.635E-08  1.380E-11  1.551E-18  1.385E-06  0.000E+00
    142.00      1.382E+00  1.315E+00  0.000E+00  1.315E+00  6.620E-02  6.619E-02  1.160E-06  9.253E-08  1.880E-11  2.283E-18  1.619E-06  0.000E+00
    143.00      1.621E+00  1.540E+00  0.000E+00  1.540E+00  8.099E-02  8.099E-02  1.519E-06  1.120E-07  2.557E-11  3.352E-18  1.888E-06  0.000E+00
    144.00      1.897E+00  1.798E+00  0.000E+00  1.798E+00  9.886E-02  9.885E-02  1.984E-06  1.355E-07  3.468E-11  4.911E-18  2.197E-06  0.000E+00
    145.00      2.215E+00  2.094E+00  0.000E+00  2.094E+00  1.204E-01  1.204E-01  2.585E-06  1.636E-07  4.694E-11  7.177E-18  2.552E-06  0.000E+00
    146.00      2.580E+00  2.434E+00  0.000E+00  2.434E+00  1.462E-01  1.462E-01  3.361E-06  1.975E-07  6.336E-11  1.046E-17  2.958E-06  0.000E+00
    147.00      2.998E+00  2.821E+00  0.000E+00  2.821E+00  1.771E-01  1.771E-01  4.359E-06  2.381E-07  8.533E-11  1.524E-17  3.422E-06  0.000E+00
    148.00      3.475E+00  3.261E+00  0.000E+00  3.261E+00  2.140E-01  2.140E-01  5.641E-06  2.869E-07  1.146E-10  2.212E-17  3.951E-06  0.000E+00
    149.00      4.019E+00  3.761E+00  0.000E+00  3.761E+00  2.581E-01  2.580E-01  7.284E-06  3.453E-07  1.537E-10  3.202E-17  4.553E-06  0.000E+00
    150.00      4.638E+00  4.327E+00  0.000E+00  4.327E+00  3.103E-01  3.103E-01  9.383E-06  4.153E-07  2.054E-10  4.628E-17  5.236E-06  0.000E+00
    151.00      5.338E+00  4.966E+00  0.000E+00  4.966E+00  3.723E-01  3.723E-01  1.206E-05  4.991E-07  2.740E-10  6.670E-17  6.010E-06  0.000E+00
    152.00      6.131E+00  5.685E+00  0.000E+00  5.685E+00  4.456E-01  4.456E-01  1.546E-05  5.994E-07  3.646E-10  9.593E-17  6.887E-06  0.000E+00
    153.00      7.024E+00  6.492E+00  0.000E+00  6.492E+00  5.319E-01  5.319E-01  1.978E-05  7.192E-07  4.840E-10  1.376E-16  7.876E-06  0.000E+00
