                                SS           DS         SPEX         DPEX          Sum
 NEG         28743663            0            0            0            0     28743663
 SI         204413991     45495921     10663528     31569902     13089402    305232744
 DI          19853684     13475542      6455603     11230854      7263873     58279556
 TI          11666353      8474826      4228146      8963865      5440061     38773251
 SC          51859608     10410956      2150697     12878457      5026264     82325982
 DC           1581605      1226057       500298      1481656       644216      5433832
 DCAI         3197548      1081303       369776      1221534       492784      6362945
 TEX         78491368     26571205      5790690     17202556      7416321    135472140
 --------------------------------------------------------------------------------------
 Sum        399807820    106735810     30158738     84548824     39372921
 
                                SS           DS         SPEX         DPEX          Sum
 NEG             4.35         0.00         0.00         0.00         0.00         4.35
 SI             30.94         6.89         1.61         4.78         1.98        46.20
 DI              3.01         2.04         0.98         1.70         1.10         8.82
 TI              1.77         1.28         0.64         1.36         0.82         5.87
 SC              7.85         1.58         0.33         1.95         0.76        12.46
 DC              0.24         0.19         0.08         0.22         0.10         0.82
 DCAI            0.48         0.16         0.06         0.18         0.07         0.96
 TEX            11.88         4.02         0.88         2.60         1.12        20.51
 --------------------------------------------------------------------------------------
 Sum            60.52        16.16         4.57        12.80         5.96
