                                SS           DS         SPEX         DPEX          Sum
 NEG         28844957            0            0            0            0     28844957
 SI         488984779     49643017     11330266     36029322     13983932    599971316
 DI          65085884     17437600      7203862     15707447      8286361    113721154
 TI          18109500      9642158      4453248     10256330      5753660     48214896
 SC          54856323     10652608      2194122     13159136      5084372     85946561
 DC           1651773      1251134       509276      1511067       655183      5578433
 DCAI         3518793      1137697       379375      1285083       505891      6826839
 TEX        184350258     27226134      5919715     17971890      7575690    243043687
 --------------------------------------------------------------------------------------
 Sum        845402267    116990348     31989864     95920275     41845089
 
                                SS           DS         SPEX         DPEX          Sum
 NEG             2.55         0.00         0.00         0.00         0.00         2.55
 SI             43.19         4.39         1.00         3.18         1.24        52.99
 DI              5.75         1.54         0.64         1.39         0.73        10.04
 TI              1.60         0.85         0.39         0.91         0.51         4.26
 SC              4.85         0.94         0.19         1.16         0.45         7.59
 DC              0.15         0.11         0.04         0.13         0.06         0.49
 DCAI            0.31         0.10         0.03         0.11         0.04         0.60
 TEX            16.28         2.40         0.52         1.59         0.67        21.47
 --------------------------------------------------------------------------------------
 Sum            74.67        10.33         2.83         8.47         3.70
