                                SS           DS         SPEX         DPEX          Sum
 SI           8606695     33674314     15423288     36463097      7953052    102120446
 DI           9455906      2903545      2382054      2927282      1702923     19371710
 TI            511413      8293535      6342012      8653186      5314426     29114572
 DCAI          103751        76947        43958        91145        41390       357191
 SC          53647633     26817722     10912092     40078299      9529067    140984813
 DC           3280909      6369899      2998320      8271768      3873213     24794109
 TEX          7211719     31314207     17202422     33926859      9872998     99528205
 -------------------------------------------------------------------------------------
 Sum         82818026    109450169     55304146    130411636     38287069    416271046
 
                                SS           DS         SPEX         DPEX          Sum
 SI              2.07         8.09         3.71         8.76         1.91        24.53
 DI              2.27         0.70         0.57         0.70         0.41         4.65
 TI              0.12         1.99         1.52         2.08         1.28         6.99
 DCAI            0.02         0.02         0.01         0.02         0.01         0.09
 SC             12.89         6.44         2.62         9.63         2.29        33.87
 DC              0.79         1.53         0.72         1.99         0.93         5.96
 TEX             1.73         7.52         4.13         8.15         2.37        23.91
 -------------------------------------------------------------------------------------
 Sum            19.90        26.29        13.29        31.33         9.20       100.00
