Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     560.984          1.037E+01          5.029E-01
     568.474          3.119E+00          1.513E-01
     574.001          4.377E+00          2.123E-01
     663.940          3.298E-03          1.600E-04
     665.616          1.360E+00          6.598E-02
     697.010          1.015E-03          4.921E-05
     697.834          5.884E-01          2.854E-02
     712.266          4.860E-04          2.357E-05
     712.758          3.204E-01          1.554E-02
     720.503          3.010E-04          1.460E-05
     720.880          1.858E-01          9.014E-03
     725.743          1.106E-01          5.364E-03
     728.925          8.251E-02          4.002E-03
     731.107          5.628E-02          2.730E-03
     732.668          4.346E-02          2.108E-03
