Photon Energy [eV]   Photons/Ion   Normalized Photons/Ion
     220.311          8.221E+00          8.098E-02
     220.903          2.368E+00          2.333E-02
     223.218          3.870E+01          3.813E-01
     228.225          2.259E+01          2.225E-01
     228.888          2.542E+00          2.504E-02
     233.701          4.474E+00          4.407E-02
     246.254          3.019E-01          2.974E-03
     251.808          6.255E-01          6.161E-03
     254.243          1.577E+00          1.553E-02
     255.301          1.876E+00          1.848E-02
     256.340          1.139E+00          1.122E-02
     257.442          1.881E+00          1.853E-02
     260.652          6.269E-01          6.176E-03
     260.920          6.269E-01          6.176E-03
     261.410          6.276E-01          6.182E-03
     261.926          9.979E-01          9.830E-03
     262.750          5.986E-01          5.897E-03
     264.325          5.941E-02          5.853E-04
     265.237          3.899E-01          3.841E-03
     266.725          1.196E+00          1.179E-02
     308.641          3.567E-01          3.514E-03
     318.186          5.454E+00          5.373E-02
     318.377          4.282E+00          4.218E-02
